Raza,Sexo,Peso,Largo,Cintura,Color,Talla,Edad,Reporte,Equipo,Fecha,Error,Tiempo
peruano,macho,983.83,27,19,pintado,gordo,54,Ser. No.: 0372EK3-Z - Date: 2024-02-19 08:41:27.124 - Status: OK,3,2024-02-19T13:41:27Z,FALSE,3.1676833351453144
peruano,macho,NA,27,NA,marrón,NA,17,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:41:56.002 - Status: OK,1,2024-02-19T13:41:56Z,FALSE,4.707800002892812
abisinio,macho,698.06,26,17,marrón oscuro,sano,60,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:50:15.663 - Status: OK,1,2024-02-19T13:50:15Z,FALSE,8.327683333555857
peruano,macho,755.78,27,20,blanco,sano,60,Ser. No.: 0372EK3-Z - Date: 2024-02-19 08:53:31.223 - Status: OK,3,2024-02-19T13:53:31Z,FALSE,12.068316666285197
americano,hembra,964.73,32,22,marrón,sano,36,Ser. No.: 0372EK3-Z - Date: 2024-02-19 08:55:06.951 - Status: OK,3,2024-02-19T13:55:06Z,FALSE,1.59546666542689
peruano,hembra,750.79,26,18,negro,sano,52,Ser. No.: 4653OK2-X - Date: 2024-02-19 08:55:49.352 - Status: OK,2,2024-02-19T13:55:49Z,FALSE,20.801099999745688
andino,hembra,595.97,22,16,negro,sano,35,Ser. No.: 4653OK2-X - Date: 2024-02-19 08:57:18.601 - Status: OK,2,2024-02-19T13:57:18Z,FALSE,1.4874833345413208
americano,macho,NA,29,19,marrón,NA,19,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:57:24.352 - Status: OK,1,2024-02-19T13:57:24Z,FALSE,7.144816664854686
andino,macho,836.44,28,NA,blanco,NA,44,Ser. No.: 0372EK3-Z - Date: 2024-02-19 09:00:18.096 - Status: OK,3,2024-02-19T14:00:18Z,FALSE,5.185749999682108
peruano,hembra,486,29,16,marrón,sano,46,Ser. No.: 6543BF2-X - Date: 2024-02-19 09:03:42.385 - Status: OK,1,2024-02-19T14:03:42Z,FALSE,6.300549999872843
híbrido,macho,1362.91,38,22,tricolor,gordo,45,Ser. No.: 0372EK3-Z - Date: 2024-02-19 09:04:33.719 - Status: OK,3,2024-02-19T14:04:33Z,FALSE,4.260383335749308
andino,macho,716.68,26,19,marrón,sano,24,Ser. No.: 4653OK2-X - Date: 2024-02-19 09:06:47.997 - Status: OK,2,2024-02-19T14:06:47Z,FALSE,9.489933331807455
andino,hembra,811.45,NA,16,tricolor,gordo,32,Ser. No.: 0372EK3-Z - Date: 2024-02-19 09:17:33.886 - Status: OK,3,2024-02-19T14:17:33Z,FALSE,13.002783330281575
peruano,macho,800.55,NA,19,blanco,sano,56,Ser. No.: 0372EK3-Z - Date: 2024-02-19 09:18:56.827 - Status: OK,3,2024-02-19T14:18:56Z,FALSE,1.382349999745687
peruano,macho,935.84,26,NA,blanco,NA,26,Ser. No.: 4653OK2-X - Date: 2024-02-19 09:23:11.705 - Status: OK,2,2024-02-19T14:23:11Z,FALSE,16.395133332411447
peruano,hembra,800.37,22,NA,blanco,NA,31,Ser. No.: 6543BF2-X - Date: 2024-02-19 09:23:31.777 - Status: OK,1,2024-02-19T14:23:31Z,FALSE,19.823199999332427
andino,macho,829.95,24,17,marrón,gordo,20,Ser. No.: 4653OK2-X - Date: 2024-02-19 09:35:29.837 - Status: OK,2,2024-02-19T14:35:29Z,FALSE,12.302199999491373
híbrido,macho,NA,34,15,tricolor,NA,35,Ser. No.: 4653OK2-X - Date: 2024-02-19 09:37:36.715 - Status: OK,2,2024-02-19T14:37:36Z,FALSE,2.114633333683014
peruano,macho,876.15,21,20,blanco,sano,46,Ser. No.: 6543BF2-X - Date: 2024-02-19 09:38:06.123 - Status: OK,1,2024-02-19T14:38:06Z,FALSE,14.572433332602182
peruano,hembra,NA,26,17,marrón,NA,53,Ser. No.: 0372EK3-Z - Date: 2024-02-19 09:41:59.076 - Status: OK,3,2024-02-19T14:41:59Z,FALSE,23.03748333454132
híbrido,hembra,1214.07,NA,NA,pintado,NA,34,Ser. No.: 6543BF2-X - Date: 2024-02-19 09:47:00.204 - Status: OK,1,2024-02-19T14:47:00Z,FALSE,8.90135000149409
peruano,hembra,679.37,26,18,blanco,sano,36,Ser. No.: 6543BF2-X - Date: 2024-02-19 09:49:25.227 - Status: OK,1,2024-02-19T14:49:25Z,FALSE,2.417050000031789
peruano,macho,785.57,28,21,negro,sano,31,Ser. No.: 0372EK3-Z - Date: 2024-02-19 09:52:18.058 - Status: OK,3,2024-02-19T14:52:18Z,FALSE,10.316366668542226
andino,macho,NA,24,15,rojizo,NA,40,Ser. No.: 4653OK2-X - Date: 2024-02-19 09:52:23.705 - Status: OK,2,2024-02-19T14:52:23Z,FALSE,14.783166666825613
peruano,hembra,686.55,24,19,marrón,sano,62,Ser. No.: 0372EK3-Z - Date: 2024-02-19 09:56:02.043 - Status: OK,3,2024-02-19T14:56:02Z,FALSE,3.7330833315849303
abisinio,macho,608.07,28,17,negro,sano,40,Ser. No.: 0372EK3-Z - Date: 2024-02-19 09:58:10.181 - Status: OK,3,2024-02-19T14:58:10Z,FALSE,2.1356333335240683
andino,hembra,667.28,25,16,blanco,gordo,50,Ser. No.: 0372EK3-Z - Date: 2024-02-19 10:00:33.649 - Status: OK,3,2024-02-19T15:00:33Z,FALSE,2.3911333322525024
andino,macho,NA,25,20,tricolor,NA,47,Ser. No.: 4653OK2-X - Date: 2024-02-19 10:00:34.561 - Status: OK,2,2024-02-19T15:00:34Z,FALSE,8.18093333641688
peruano,hembra,677.08,24,18,blanco,sano,47,Ser. No.: 0372EK3-Z - Date: 2024-02-19 10:01:27.433 - Status: OK,3,2024-02-19T15:01:27Z,FALSE,0.896400002638499
peruano,macho,664.37,26,21,blanco,sano,15,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:06:31.641 - Status: OK,1,2024-02-19T15:06:31Z,FALSE,17.106900000572203
peruano,macho,859.2,25,20,blanco,sano,51,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:09:02.119 - Status: OK,1,2024-02-19T15:09:02Z,FALSE,2.50796666542689
andino,hembra,696.61,23,19,negro,sano,33,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:12:48.149 - Status: OK,1,2024-02-19T15:12:48Z,FALSE,3.7671666661898295
andino,hembra,758.37,27,NA,tricolor,NA,12,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:15:30.041 - Status: OK,1,2024-02-19T15:15:30Z,FALSE,2.698199999332428
americano,macho,1104.69,26,19,negro,gordo,31,Ser. No.: 4653OK2-X - Date: 2024-02-19 10:20:26.906 - Status: OK,2,2024-02-19T15:20:26Z,FALSE,19.87241666316986
peruano,macho,NA,32,20,blanco,NA,32,Ser. No.: 0372EK3-Z - Date: 2024-02-19 10:20:57.445 - Status: OK,3,2024-02-19T15:20:57Z,FALSE,19.500199997425078
andino,macho,647.55,22,NA,blanco,NA,52,Ser. No.: 0372EK3-Z - Date: 2024-02-19 10:23:12.418 - Status: OK,3,2024-02-19T15:23:12Z,FALSE,2.2495500008265177
andino,macho,529.65,23,17,marrón,sano,36,Ser. No.: 0372EK3-Z - Date: 2024-02-19 10:24:56.122 - Status: OK,3,2024-02-19T15:24:56Z,FALSE,1.7283999999364217
peruano,hembra,609.03,24,18,marrón,sano,31,Ser. No.: 0372EK3-Z - Date: 2024-02-19 10:25:39.743 - Status: OK,3,2024-02-19T15:25:39Z,FALSE,0.7270166675249735
híbrido,macho,768.98,35,16,tricolor,gordo,22,Ser. No.: 4653OK2-X - Date: 2024-02-19 10:32:09.38 - Status: OK,2,2024-02-19T15:32:09Z,FALSE,11.707900003592174
peruano,macho,723.64,NA,18,negro,sano,49,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:32:20.683 - Status: OK,1,2024-02-19T15:32:20Z,FALSE,16.844033336639406
híbrido,hembra,927.33,36,14,tricolor,obeso,26,Ser. No.: 0372EK3-Z - Date: 2024-02-19 10:33:00.707 - Status: OK,3,2024-02-19T15:33:00Z,FALSE,7.349399999777476
andino,macho,NA,NA,NA,tricolor,NA,41,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:33:46.537 - Status: OK,1,2024-02-19T15:33:46Z,FALSE,1.4308999975522358
americano,hembra,819.53,29,NA,blanco,NA,56,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:34:31.713 - Status: OK,1,2024-02-19T15:34:31Z,FALSE,0.7529333353042602
peruano,macho,884.16,27,19,pintado,sano,42,Ser. No.: 4653OK2-X - Date: 2024-02-19 10:36:47.416 - Status: OK,2,2024-02-19T15:36:47Z,FALSE,4.633933329582215
andino,macho,926.55,29,19,blanco,gordo,54,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:39:25.743 - Status: OK,1,2024-02-19T15:39:25Z,FALSE,4.900499999523163
andino,hembra,NA,25,17,rojizo,NA,39,Ser. No.: 0372EK3-Z - Date: 2024-02-19 10:43:41.652 - Status: OK,3,2024-02-19T15:43:41Z,FALSE,10.682416665554047
peruano,hembra,632.02,NA,20,blanco,sano,56,Ser. No.: 0372EK3-Z - Date: 2024-02-19 10:47:02.912 - Status: OK,3,2024-02-19T15:47:02Z,FALSE,3.3543333331743876
peruano,macho,623.29,25,20,blanco,flaco,38,Ser. No.: 0372EK3-Z - Date: 2024-02-19 10:49:19.876 - Status: OK,3,2024-02-19T15:49:19Z,FALSE,2.2827333331108095
peruano,hembra,NA,23,18,marrón,NA,24,Ser. No.: 0372EK3-Z - Date: 2024-02-19 10:53:24.672 - Status: OK,3,2024-02-19T15:53:24Z,FALSE,4.0799333333969114
peruano,hembra,871.91,26,17,marrón,gordo,37,Ser. No.: 4653OK2-X - Date: 2024-02-19 10:56:02.024 - Status: OK,2,2024-02-19T15:56:02Z,FALSE,19.24346666733424
peruano,hembra,609.22,28,NA,blanco,NA,27,Ser. No.: 6543BF2-X - Date: 2024-02-19 10:56:37.266 - Status: OK,1,2024-02-19T15:56:37Z,FALSE,17.192050000031788
peruano,macho,723.4,33,18,blanco,sano,31,Ser. No.: 0372EK3-Z - Date: 2024-02-19 10:56:45.106 - Status: OK,3,2024-02-19T15:56:45Z,FALSE,3.3405666669209797
peruano,macho,698.63,NA,NA,marrón,NA,49,Ser. No.: 6543BF2-X - Date: 2024-02-19 11:04:41.403 - Status: OK,1,2024-02-19T16:04:41Z,FALSE,8.068950001398722
peruano,macho,793.41,NA,20,marrón,sano,29,Ser. No.: 4653OK2-X - Date: 2024-02-19 11:09:09.041 - Status: OK,2,2024-02-19T16:09:09Z,FALSE,13.116949999332428
peruano,macho,990.01,30,19,blanco,gordo,17,Ser. No.: 4653OK2-X - Date: 2024-02-19 11:11:55.508 - Status: OK,2,2024-02-19T16:11:55Z,FALSE,2.7744500001271564
americano,hembra,858.24,28,20,blanco,sano,30,Ser. No.: 6543BF2-X - Date: 2024-02-19 11:13:17.113 - Status: OK,1,2024-02-19T16:13:17Z,FALSE,8.595166663328806
peruano,hembra,642.51,NA,18,marrón,sano,40,Ser. No.: 4653OK2-X - Date: 2024-02-19 11:14:48.829 - Status: OK,2,2024-02-19T16:14:48Z,FALSE,2.8886833349863688
peruano,macho,736.25,NA,20,marrón,sano,33,Ser. No.: 4653OK2-X - Date: 2024-02-19 11:22:04.396 - Status: OK,2,2024-02-19T16:22:04Z,FALSE,7.2594499985377
híbrido,hembra,NA,NA,NA,pintado,NA,40,Ser. No.: 4653OK2-X - Date: 2024-02-19 11:25:25.856 - Status: OK,2,2024-02-19T16:25:25Z,FALSE,3.3576666673024493
andino,hembra,826.81,NA,NA,blanco,NA,51,Ser. No.: 6543BF2-X - Date: 2024-02-19 11:26:04.496 - Status: OK,1,2024-02-19T16:26:04Z,FALSE,12.789716668923695
andino,hembra,772.71,23,NA,tricolor,NA,65,Ser. No.: 4653OK2-X - Date: 2024-02-19 11:28:50.326 - Status: OK,2,2024-02-19T16:28:50Z,FALSE,3.4078333338101703
peruano,hembra,608.43,24,20,pintado,sano,16,Ser. No.: 4653OK2-X - Date: 2024-02-19 11:30:52.54 - Status: OK,2,2024-02-19T16:30:52Z,FALSE,2.036899999777476
andino,macho,898.28,24,NA,blanco,NA,25,Ser. No.: 4653OK2-X - Date: 2024-02-19 11:30:59.523 - Status: OK,2,2024-02-19T16:30:59Z,FALSE,0.11638333400090535
peruano,macho,823.66,25,NA,marrón,NA,11,Ser. No.: 6543BF2-X - Date: 2024-02-19 11:32:50.417 - Status: OK,1,2024-02-19T16:32:50Z,FALSE,6.765350000063578
andino,hembra,707.36,23,NA,negro,NA,29,Ser. No.: 0372EK3-Z - Date: 2024-02-19 11:37:24.996 - Status: OK,3,2024-02-19T16:37:24Z,FALSE,40.66483333508174
andino,macho,739.48,24,18,blanco,sano,50,Ser. No.: 0372EK3-Z - Date: 2024-02-19 11:42:37.155 - Status: OK,3,2024-02-19T16:42:37Z,FALSE,5.202649998664856
peruano,hembra,806.4,28,16,blanco,gordo,22,Ser. No.: 4653OK2-X - Date: 2024-02-19 11:44:09.532 - Status: OK,2,2024-02-19T16:44:09Z,FALSE,13.16681666771571
peruano,macho,779.6,27,20,blanco,sano,27,Ser. No.: 0372EK3-Z - Date: 2024-02-19 11:48:28.73 - Status: OK,3,2024-02-19T16:48:28Z,FALSE,5.859583334128062
andino,macho,851.25,27,16,marrón,gordo,40,Ser. No.: 4653OK2-X - Date: 2024-02-19 11:49:09.082 - Status: OK,2,2024-02-19T16:49:09Z,FALSE,4.992499999205271
peruano,hembra,715.64,25,NA,blanco,NA,41,Ser. No.: 4653OK2-X - Date: 2024-02-19 11:55:58.713 - Status: OK,2,2024-02-19T16:55:58Z,FALSE,6.827183334032695
andino,hembra,559.35,NA,17,blanco,sano,57,Ser. No.: 6543BF2-X - Date: 2024-02-19 12:02:39.849 - Status: OK,1,2024-02-19T17:02:39Z,FALSE,29.82386666536331
peruano,macho,706.17,28,20,blanco,sano,51,Ser. No.: 0372EK3-Z - Date: 2024-02-19 12:03:07.603 - Status: OK,3,2024-02-19T17:03:07Z,FALSE,14.647883331775665
peruano,hembra,NA,NA,17,marrón,NA,57,Ser. No.: 4653OK2-X - Date: 2024-02-19 12:05:20.927 - Status: OK,2,2024-02-19T17:05:20Z,FALSE,9.370233333110809
peruano,hembra,719.74,NA,18,negro,sano,64,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:04:07.101 - Status: OK,1,2024-02-19T18:04:07Z,FALSE,NA
peruano,macho,854.73,24,NA,blanco,NA,33,Ser. No.: 4653OK2-X - Date: 2024-02-19 13:09:47.613 - Status: OK,2,2024-02-19T18:09:47Z,FALSE,NA
abisinio,macho,410.42,19,NA,marrón oscuro,NA,19,Ser. No.: 0372EK3-Z - Date: 2024-02-19 13:12:25.265 - Status: OK,3,2024-02-19T18:12:25Z,FALSE,NA
peruano,macho,NA,28,19,marrón,NA,61,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:16:04.78 - Status: OK,1,2024-02-19T18:16:04Z,FALSE,11.961316665013632
peruano,macho,805.25,27,NA,negro,NA,26,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:17:46.272 - Status: OK,1,2024-02-19T18:17:46Z,FALSE,1.691533335049947
peruano,macho,815.97,29,21,blanco,sano,44,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:18:38.533 - Status: OK,1,2024-02-19T18:18:38Z,FALSE,0.8710166652997334
andino,macho,860.36,26,17,marrón,gordo,19,Ser. No.: 4653OK2-X - Date: 2024-02-19 13:18:41.381 - Status: OK,2,2024-02-19T18:18:41Z,FALSE,8.896133335431417
peruano,hembra,812.92,NA,NA,blanco,NA,23,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:22:02.076 - Status: OK,1,2024-02-19T18:22:02Z,FALSE,3.392383333047231
híbrido,hembra,1372.08,27,21,tricolor,gordo,46,Ser. No.: 0372EK3-Z - Date: 2024-02-19 13:24:41.535 - Status: OK,3,2024-02-19T18:24:41Z,FALSE,12.271166666348774
andino,hembra,862.77,23,17,tricolor,gordo,38,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:26:21.377 - Status: OK,1,2024-02-19T18:26:21Z,FALSE,4.32168333530426
peruano,hembra,659.61,28,NA,pintado,NA,47,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:28:14.678 - Status: OK,1,2024-02-19T18:28:14Z,FALSE,1.888349997997284
andino,hembra,693.94,21,16,tricolor,gordo,27,Ser. No.: 0372EK3-Z - Date: 2024-02-19 13:29:10.466 - Status: OK,3,2024-02-19T18:29:10Z,FALSE,4.482183333237966
peruano,hembra,614.72,22,17,blanco,sano,55,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:33:11.782 - Status: OK,1,2024-02-19T18:33:11Z,FALSE,4.951733334859212
peruano,macho,933.5,22,19,negro,gordo,16,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:37:53.705 - Status: OK,1,2024-02-19T18:37:53Z,FALSE,4.69871666431427
andino,macho,778,NA,NA,rojizo,NA,30,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:39:39.873 - Status: OK,1,2024-02-19T18:39:39Z,FALSE,1.7694666663805643
peruano,hembra,753.05,29,NA,pintado,NA,29,Ser. No.: 0372EK3-Z - Date: 2024-02-19 13:40:10.102 - Status: OK,3,2024-02-19T18:40:10Z,FALSE,10.9939333319664
andino,macho,NA,23,NA,negro,NA,61,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:40:28.422 - Status: OK,1,2024-02-19T18:40:28Z,FALSE,0.8091500004132589
peruano,macho,732.37,28,NA,pintado,NA,34,Ser. No.: 0372EK3-Z - Date: 2024-02-19 13:40:58.468 - Status: OK,3,2024-02-19T18:40:58Z,FALSE,0.8060999989509583
andino,macho,649.18,28,18,rojizo,sano,21,Ser. No.: 0372EK3-Z - Date: 2024-02-19 13:43:32.528 - Status: OK,3,2024-02-19T18:43:32Z,FALSE,2.5676666696866355
peruano,hembra,653.23,NA,18,marrón,sano,52,Ser. No.: 0372EK3-Z - Date: 2024-02-19 13:44:30.411 - Status: OK,3,2024-02-19T18:44:30Z,FALSE,0.9647166649500529
peruano,macho,855.69,30,20,blanco,sano,64,Ser. No.: 4653OK2-X - Date: 2024-02-19 13:44:52.142 - Status: OK,2,2024-02-19T18:44:52Z,FALSE,26.179349998633068
andino,macho,737.3,29,NA,negro,NA,59,Ser. No.: 0372EK3-Z - Date: 2024-02-19 13:47:24.717 - Status: OK,3,2024-02-19T18:47:24Z,FALSE,2.9050999999046327
híbrido,hembra,594.36,32,13,tricolor,gordo,43,Ser. No.: 4653OK2-X - Date: 2024-02-19 13:49:45.797 - Status: OK,2,2024-02-19T18:49:45Z,FALSE,4.894249999523163
andino,macho,639.93,22,17,blanco,sano,28,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:50:03.885 - Status: OK,1,2024-02-19T18:50:03Z,FALSE,9.591050000985463
andino,macho,768.09,27,17,blanco,gordo,34,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:50:36.597 - Status: OK,1,2024-02-19T18:50:36Z,FALSE,0.5451999982198079
peruano,hembra,729.81,27,20,marrón,sano,28,Ser. No.: 0372EK3-Z - Date: 2024-02-19 13:54:03.955 - Status: OK,3,2024-02-19T18:54:03Z,FALSE,6.653966665267944
abisinio,macho,NA,27,17,marrón oscuro,NA,17,Ser. No.: 0372EK3-Z - Date: 2024-02-19 13:55:38.125 - Status: OK,3,2024-02-19T18:55:38Z,FALSE,1.5695000012715659
peruano,hembra,765.74,NA,18,pintado,sano,55,Ser. No.: 4653OK2-X - Date: 2024-02-19 14:01:21.514 - Status: OK,2,2024-02-19T19:01:21Z,FALSE,11.59528333346049
peruano,macho,NA,29,18,pintado,NA,46,Ser. No.: 4653OK2-X - Date: 2024-02-19 14:04:56.198 - Status: OK,2,2024-02-19T19:04:56Z,FALSE,3.57806666692098
peruano,hembra,580.34,23,17,marrón,sano,32,Ser. No.: 0372EK3-Z - Date: 2024-02-19 14:06:10.395 - Status: OK,3,2024-02-19T19:06:10Z,FALSE,10.537833333015442
andino,macho,849.64,26,NA,blanco,NA,40,Ser. No.: 4653OK2-X - Date: 2024-02-19 14:11:21.51 - Status: OK,2,2024-02-19T19:11:21Z,FALSE,6.421866667270661
peruano,hembra,670.95,30,16,marrón,gordo,35,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:11:42.965 - Status: OK,1,2024-02-19T19:11:42Z,FALSE,21.10613333384196
andino,hembra,772.2,22,16,rojizo,gordo,34,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:12:07.162 - Status: OK,1,2024-02-19T19:12:07Z,FALSE,0.4032833337783813
americano,macho,1067.16,29,18,blanco,gordo,54,Ser. No.: 4653OK2-X - Date: 2024-02-19 14:12:54.55 - Status: OK,2,2024-02-19T19:12:54Z,FALSE,1.5506666660308839
peruano,macho,745.65,NA,21,pintado,sano,15,Ser. No.: 4653OK2-X - Date: 2024-02-19 14:15:42.626 - Status: OK,2,2024-02-19T19:15:42Z,FALSE,2.8012666662534076
andino,macho,723.18,32,NA,negro,NA,54,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:16:24.292 - Status: OK,1,2024-02-19T19:16:24Z,FALSE,4.285500001907349
peruano,hembra,763.42,25,19,negro,sano,40,Ser. No.: 0372EK3-Z - Date: 2024-02-19 14:16:53.02 - Status: OK,3,2024-02-19T19:16:53Z,FALSE,10.710416666666667
peruano,macho,979.6,29,20,blanco,sano,32,Ser. No.: 0372EK3-Z - Date: 2024-02-19 14:17:54.732 - Status: OK,3,2024-02-19T19:17:54Z,FALSE,1.0285333355267843
peruano,hembra,648.89,24,19,pintado,sano,19,Ser. No.: 0372EK3-Z - Date: 2024-02-19 14:18:55.736 - Status: OK,3,2024-02-19T19:18:55Z,FALSE,1.0167333324750265
peruano,macho,820.06,NA,NA,pintado,NA,23,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:21:41.834 - Status: OK,1,2024-02-19T19:21:41Z,FALSE,5.292366667588552
americano,macho,1057.67,28,NA,blanco,NA,17,Ser. No.: 0372EK3-Z - Date: 2024-02-19 14:22:24.324 - Status: OK,3,2024-02-19T19:22:24Z,FALSE,3.476466663678487
peruano,macho,1016.6,32,20,negro,gordo,14,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:22:29.536 - Status: OK,1,2024-02-19T19:22:29Z,FALSE,0.795033331712087
peruano,macho,1031.24,23,20,marrón,gordo,35,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:23:42.298 - Status: OK,1,2024-02-19T19:23:42Z,FALSE,1.2127000013987224
peruano,hembra,531.43,22,NA,blanco,NA,59,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:25:44.997 - Status: OK,1,2024-02-19T19:25:44Z,FALSE,2.0449833313624066
andino,macho,864.99,NA,19,blanco,sano,13,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:26:10.792 - Status: OK,1,2024-02-19T19:26:10Z,FALSE,0.4299166679382324
peruano,macho,1017.99,29,21,marrón,sano,24,Ser. No.: 0372EK3-Z - Date: 2024-02-19 14:26:20.266 - Status: OK,3,2024-02-19T19:26:20Z,FALSE,3.932366669178009
andino,macho,727.33,24,NA,negro,NA,55,Ser. No.: 4653OK2-X - Date: 2024-02-19 14:30:07.04 - Status: OK,2,2024-02-19T19:30:07Z,FALSE,14.406900000572204
andino,macho,902.12,26,NA,negro,NA,43,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:30:18.318 - Status: OK,1,2024-02-19T19:30:18Z,FALSE,4.1254333337148035
peruano,hembra,713.26,25,18,blanco,sano,49,Ser. No.: 4653OK2-X - Date: 2024-02-19 14:31:36.6 - Status: OK,2,2024-02-19T19:31:36Z,FALSE,1.4926666657129923
andino,macho,752.64,22,17,blanco,gordo,40,Ser. No.: 0372EK3-Z - Date: 2024-02-19 14:35:17.305 - Status: OK,3,2024-02-19T19:35:17Z,FALSE,8.950650000572205
peruano,macho,1043.45,25,NA,blanco,NA,39,Ser. No.: 0372EK3-Z - Date: 2024-02-19 14:37:45.849 - Status: OK,3,2024-02-19T19:37:45Z,FALSE,2.4757333318392436
andino,macho,630.03,26,19,rojizo,sano,31,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:39:00.103 - Status: OK,1,2024-02-19T19:39:00Z,FALSE,8.696416664123536
andino,macho,769.26,27,21,rojizo,sano,26,Ser. No.: 0372EK3-Z - Date: 2024-02-19 14:41:28.997 - Status: OK,3,2024-02-19T19:41:28Z,FALSE,3.7191333333651224
peruano,hembra,713.58,NA,18,blanco,sano,40,Ser. No.: 0372EK3-Z - Date: 2024-02-19 14:42:58.902 - Status: OK,3,2024-02-19T19:42:58Z,FALSE,1.4984166661898295
peruano,macho,980,32,21,pintado,sano,49,Ser. No.: 4653OK2-X - Date: 2024-02-19 14:43:30.191 - Status: OK,2,2024-02-19T19:43:30Z,FALSE,11.893183334668477
andino,hembra,606.26,26,15,blanco,gordo,43,Ser. No.: 4653OK2-X - Date: 2024-02-19 14:46:05.576 - Status: OK,2,2024-02-19T19:46:05Z,FALSE,2.5897499998410543
