Raza,Sexo,Peso,Largo,Cintura,Color,Talla,Edad
híbrido,hembra,NA,NA,NA,pintado,NA,40
andino,hembra,826.81,NA,NA,blanco,NA,51
andino,hembra,772.71,23,NA,tricolor,NA,65
peruano,hembra,608.43,24,20,pintado,sano,16
andino,macho,898.28,24,NA,blanco,NA,25
peruano,macho,823.66,25,NA,marrón,NA,11
andino,hembra,707.36,23,NA,negro,NA,29
andino,macho,739.48,24,18,blanco,sano,50
peruano,hembra,806.4,28,16,blanco,gordo,22
peruano,macho,779.6,27,20,blanco,sano,27
andino,macho,851.25,27,16,marrón,gordo,40
peruano,hembra,715.64,25,NA,blanco,NA,41
andino,hembra,559.35,NA,17,blanco,sano,57
peruano,macho,706.17,28,20,blanco,sano,51
peruano,hembra,NA,NA,17,marrón,NA,57
peruano,hembra,719.74,NA,18,negro,sano,64
peruano,macho,854.73,24,NA,blanco,NA,33
abisinio,macho,410.42,19,NA,marrón oscuro,NA,19
peruano,macho,NA,28,19,marrón,NA,61
peruano,macho,805.25,27,NA,negro,NA,26
peruano,macho,815.97,29,21,blanco,sano,44
andino,macho,860.36,26,17,marrón,gordo,19
peruano,hembra,812.92,NA,NA,blanco,NA,23
híbrido,hembra,1372.08,27,21,tricolor,gordo,46
andino,hembra,862.77,23,17,tricolor,gordo,38
peruano,hembra,659.61,28,NA,pintado,NA,47
andino,hembra,693.94,21,16,tricolor,gordo,27
peruano,hembra,614.72,22,17,blanco,sano,55
peruano,macho,933.5,22,19,negro,gordo,16
andino,macho,778,NA,NA,rojizo,NA,30
peruano,hembra,753.05,29,NA,pintado,NA,29
andino,macho,NA,23,NA,negro,NA,61
peruano,macho,732.37,28,NA,pintado,NA,34
andino,macho,649.18,28,18,rojizo,sano,21
peruano,hembra,653.23,NA,18,marrón,sano,52
peruano,macho,855.69,30,20,blanco,sano,64
andino,macho,737.3,29,NA,negro,NA,59
híbrido,hembra,594.36,32,13,tricolor,gordo,43
andino,macho,639.93,22,17,blanco,sano,28
andino,macho,768.09,27,17,blanco,gordo,34
peruano,hembra,729.81,27,20,marrón,sano,28
abisinio,macho,NA,27,17,marrón oscuro,NA,17
peruano,hembra,765.74,NA,18,pintado,sano,55
peruano,macho,NA,29,18,pintado,NA,46
peruano,hembra,580.34,23,17,marrón,sano,32
andino,macho,849.64,26,NA,blanco,NA,40
peruano,hembra,670.95,30,16,marrón,gordo,35
andino,hembra,772.2,22,16,rojizo,gordo,34
americano,macho,1067.16,29,18,blanco,gordo,54
peruano,macho,745.65,NA,21,pintado,sano,15
andino,macho,723.18,32,NA,negro,NA,54
peruano,hembra,763.42,25,19,negro,sano,40
peruano,macho,979.6,29,20,blanco,sano,32
peruano,hembra,648.89,24,19,pintado,sano,19
peruano,macho,820.06,NA,NA,pintado,NA,23
americano,macho,1057.67,28,NA,blanco,NA,17
peruano,macho,1016.6,32,20,negro,gordo,14
peruano,macho,1031.24,23,20,marrón,gordo,35
peruano,hembra,531.43,22,NA,blanco,NA,59
andino,macho,864.99,NA,19,blanco,sano,13
peruano,macho,1017.99,29,21,marrón,sano,24
andino,macho,727.33,24,NA,negro,NA,55
andino,macho,902.12,26,NA,negro,NA,43
peruano,hembra,713.26,25,18,blanco,sano,49
andino,macho,752.64,22,17,blanco,gordo,40
peruano,macho,1043.45,25,NA,blanco,NA,39
andino,macho,630.03,26,19,rojizo,sano,31
andino,macho,769.26,27,21,rojizo,sano,26
peruano,hembra,713.58,NA,18,blanco,sano,40
peruano,macho,980,32,21,pintado,sano,49
andino,hembra,606.26,26,15,blanco,gordo,43
híbrido,hembra,539.27,35,15,marrón,sano,30
híbrido,macho,NA,36,17,pintado,NA,19
peruano,macho,785.63,28,20,negro,sano,37
peruano,hembra,791.39,23,16,marrón,gordo,15
peruano,macho,906.46,NA,19,blanco,sano,23
andino,macho,711.61,27,19,tricolor,sano,59
abisinio,macho,756.54,21,NA,marrón oscuro,NA,27
peruano,macho,NA,24,NA,blanco,NA,26
peruano,hembra,726.5,25,20,blanco,sano,25
peruano,macho,NA,22,NA,negro,NA,32
andino,macho,897.21,24,18,blanco,gordo,61
peruano,macho,903.03,28,21,marrón,sano,15
peruano,macho,692.04,31,19,blanco,sano,21
peruano,macho,761.84,26,21,marrón,sano,59
peruano,macho,937.15,NA,NA,blanco,NA,11
andino,hembra,722.25,20,16,blanco,gordo,44
peruano,hembra,636.72,27,NA,marrón,NA,40
abisinio,macho,553.22,22,16,marrón oscuro,sano,18
peruano,hembra,826.19,30,NA,blanco,NA,15
híbrido,hembra,NA,NA,17,blanco,NA,15
peruano,hembra,NA,NA,17,blanco,NA,46
andino,macho,958.13,26,NA,blanco,NA,64
peruano,macho,534.97,28,17,blanco,sano,40
peruano,macho,862.63,28,19,blanco,sano,22
abisinio,macho,NA,NA,16,marrón oscuro,NA,30
peruano,macho,776.07,21,21,marrón,sano,64
abisinio,macho,NA,25,15,marrón oscuro,NA,66
peruano,hembra,503.8,24,17,negro,sano,48
peruano,macho,761.69,NA,20,blanco,sano,34
americano,macho,755.53,24,NA,blanco,NA,14
peruano,macho,NA,25,20,negro,NA,36
peruano,macho,822.4,23,NA,negro,NA,49
peruano,hembra,527.27,29,18,marrón,sano,44
andino,hembra,729.88,25,NA,negro,NA,32
peruano,hembra,511.76,24,18,blanco,sano,46
abisinio,macho,527.88,21,17,negro,sano,30
peruano,macho,NA,26,NA,blanco,NA,12
peruano,macho,795.5,28,20,blanco,sano,19
andino,macho,796.71,27,17,blanco,gordo,18
peruano,hembra,NA,24,20,blanco,NA,49
andino,macho,793.51,23,17,tricolor,gordo,57
peruano,macho,846.23,28,20,marrón,sano,17
andino,hembra,NA,NA,NA,blanco,NA,31
peruano,macho,926.07,33,NA,blanco,NA,53
híbrido,macho,717.88,28,20,tricolor,sano,37
peruano,macho,951.53,27,20,pintado,sano,45
peruano,hembra,692.63,26,18,blanco,sano,44
híbrido,macho,1225.75,36,21,pintado,gordo,40
peruano,macho,803.07,28,19,blanco,sano,41
peruano,hembra,NA,NA,18,marrón,NA,21
peruano,hembra,608.44,26,19,pintado,sano,50
peruano,hembra,596.85,NA,18,blanco,sano,64
híbrido,hembra,1437.85,23,25,tricolor,sano,33
peruano,macho,911.28,26,NA,blanco,NA,15
andino,macho,966.52,27,17,blanco,gordo,59
americano,macho,1038.69,26,25,negro,sano,45
andino,macho,859.61,25,NA,negro,NA,13
peruano,macho,797.3,27,21,pintado,sano,24
andino,macho,900.84,28,19,blanco,gordo,53
peruano,hembra,NA,23,17,blanco,NA,46
peruano,hembra,786.06,25,15,marrón,gordo,41
abisinio,macho,505.72,23,NA,marrón oscuro,NA,30
peruano,macho,872.86,NA,21,negro,sano,55
peruano,macho,884.93,28,NA,blanco,NA,50
peruano,hembra,NA,25,18,blanco,NA,50
peruano,macho,701.52,22,NA,blanco,NA,48
andino,macho,940.78,24,18,negro,gordo,15
andino,hembra,763.3,NA,15,blanco,gordo,35
peruano,macho,NA,30,NA,blanco,NA,20
peruano,macho,883.8,32,20,blanco,sano,28
peruano,macho,892.79,NA,20,blanco,sano,47
híbrido,macho,1176.45,20,NA,pintado,NA,54
peruano,macho,NA,NA,20,blanco,NA,27
andino,hembra,732.53,NA,16,blanco,gordo,47
andino,hembra,725.41,27,NA,tricolor,NA,26
peruano,hembra,706.15,NA,NA,blanco,NA,39
peruano,macho,946.03,NA,NA,negro,NA,14
abisinio,macho,675.1,25,16,gris,gordo,62
peruano,hembra,640.92,24,19,blanco,sano,34
híbrido,macho,1321.36,26,27,tricolor,sano,44
híbrido,hembra,863.94,36,17,tricolor,gordo,40
híbrido,hembra,674.45,19,NA,blanco,NA,32
peruano,macho,682.48,NA,NA,pintado,NA,59
peruano,macho,724.48,NA,NA,negro,NA,47
andino,macho,642.47,NA,18,negro,sano,38
andino,hembra,NA,24,15,tricolor,NA,36
peruano,hembra,677.35,25,19,marrón,sano,49
peruano,macho,794.61,23,19,blanco,sano,48
peruano,macho,768.12,NA,20,negro,sano,63
abisinio,macho,613.6,25,NA,marrón oscuro,NA,50
peruano,hembra,766.96,26,16,blanco,gordo,56
peruano,hembra,727.63,31,17,negro,sano,31
andino,macho,755.65,25,18,negro,sano,17
andino,macho,821.45,24,18,marrón,gordo,48
peruano,macho,NA,24,21,negro,NA,22
peruano,hembra,871.72,27,18,blanco,gordo,24
abisinio,macho,NA,NA,17,gris,NA,16
peruano,macho,762.06,29,NA,marrón,NA,49
andino,hembra,623.6,20,18,rojizo,sano,22
andino,macho,814.8,26,NA,blanco,NA,27
peruano,macho,743.82,33,19,blanco,sano,26
peruano,macho,796.41,28,NA,pintado,NA,57
andino,hembra,696.81,NA,NA,rojizo,NA,33
peruano,macho,726.16,21,NA,marrón,NA,54
peruano,hembra,769.45,27,NA,pintado,NA,31
peruano,hembra,NA,NA,NA,blanco,NA,NA
peruano,macho,847.92,27,NA,negro,NA,53
híbrido,hembra,1049.34,34,21,marrón,sano,52
andino,macho,679.87,NA,16,blanco,gordo,14
andino,hembra,712.5,27,16,tricolor,gordo,38
peruano,macho,909.94,33,NA,blanco,NA,22
peruano,hembra,712.42,19,19,negro,sano,36
andino,macho,886.52,NA,19,rojizo,sano,36
peruano,macho,NA,23,20,negro,NA,34
andino,hembra,671.59,20,17,marrón,sano,54
abisinio,macho,578.55,22,17,marrón oscuro,sano,50
abisinio,macho,511.37,23,NA,marrón oscuro,NA,24
andino,hembra,803.33,22,NA,negro,NA,48
peruano,macho,NA,28,NA,negro,NA,13
peruano,macho,683.51,26,20,blanco,sano,43
andino,macho,922.56,27,19,negro,gordo,26
andino,hembra,603.73,21,15,rojizo,gordo,22
andino,macho,778.27,24,NA,negro,NA,18
híbrido,macho,1110.18,26,NA,tricolor,NA,25
peruano,hembra,680.76,24,19,pintado,sano,19
andino,macho,780.22,NA,17,negro,gordo,28
andino,macho,709.95,NA,19,marrón,sano,34
andino,macho,700.49,25,18,blanco,sano,28
peruano,macho,829.68,23,NA,blanco,NA,63
peruano,macho,NA,26,20,pintado,NA,28
abisinio,macho,625.98,20,17,marrón oscuro,sano,20
peruano,hembra,831.77,23,17,blanco,gordo,64
peruano,hembra,NA,26,NA,blanco,NA,57
peruano,hembra,NA,NA,NA,negro,NA,64
peruano,hembra,759.76,26,18,blanco,sano,15
peruano,macho,839.25,NA,19,blanco,sano,47
peruano,hembra,605.03,28,17,blanco,sano,27
híbrido,hembra,1586.41,NA,26,marrón,sano,18
andino,macho,847.51,25,NA,negro,NA,34
peruano,macho,751.69,NA,19,pintado,sano,51
abisinio,macho,426.04,22,18,negro,flaco,57
andino,macho,619.85,33,18,negro,sano,44
andino,macho,1026.16,28,17,negro,gordo,65
peruano,macho,915.72,25,20,negro,sano,28
peruano,hembra,644.04,25,18,pintado,sano,40
andino,macho,795.05,25,18,blanco,sano,36
abisinio,macho,451.56,22,16,negro,sano,51
andino,hembra,695.24,NA,17,blanco,sano,42
abisinio,macho,NA,21,NA,marrón oscuro,NA,59
peruano,hembra,NA,26,NA,blanco,NA,48
peruano,hembra,724.58,NA,19,marrón,sano,45
peruano,hembra,471.36,24,17,pintado,sano,43
peruano,macho,753.42,23,19,negro,sano,57
abisinio,macho,NA,25,15,marrón oscuro,NA,29
peruano,macho,758.36,28,21,blanco,sano,30
peruano,hembra,629.43,25,18,blanco,sano,52
peruano,hembra,710.41,22,18,pintado,sano,51
peruano,hembra,796.89,28,NA,blanco,NA,53
peruano,hembra,624.72,NA,18,marrón,sano,49
andino,macho,NA,24,17,negro,NA,43
peruano,hembra,876.19,22,NA,pintado,NA,47
híbrido,macho,1236.06,NA,18,marrón,obeso,29
peruano,hembra,696.97,NA,NA,blanco,NA,58
andino,macho,850.79,23,18,blanco,gordo,39
andino,macho,602.86,NA,19,marrón,sano,13
andino,macho,973.13,24,18,marrón,gordo,37
peruano,macho,695.34,28,NA,marrón,NA,64
andino,macho,NA,30,18,blanco,NA,19
andino,macho,881.81,27,19,marrón,sano,19
peruano,macho,629.36,NA,18,pintado,sano,55
andino,macho,770.51,25,17,blanco,gordo,32
andino,macho,821.64,26,18,marrón,sano,17
americano,hembra,763.28,33,19,blanco,sano,16
abisinio,macho,474.61,23,15,marrón oscuro,sano,53
híbrido,hembra,473.52,25,NA,tricolor,NA,61
andino,hembra,607.77,21,17,negro,sano,47
peruano,macho,NA,26,18,negro,NA,38
peruano,macho,NA,27,NA,negro,NA,39
peruano,hembra,749.95,26,NA,pintado,NA,32
peruano,macho,NA,32,19,marrón,NA,51
andino,macho,780.05,21,17,blanco,gordo,45
peruano,macho,795.67,NA,22,pintado,sano,47
peruano,hembra,645.44,27,17,negro,sano,54
abisinio,macho,716.97,23,16,negro,gordo,51
peruano,macho,NA,28,19,blanco,NA,59
peruano,hembra,767.27,28,17,blanco,gordo,56
peruano,macho,801.1,29,20,negro,sano,45
híbrido,hembra,995.72,35,16,tricolor,obeso,31
andino,macho,626.28,25,17,marrón,sano,16
híbrido,macho,606,NA,15,blanco,gordo,22
peruano,hembra,740.06,25,18,blanco,sano,16
peruano,hembra,743.74,29,18,blanco,sano,48
peruano,hembra,746.14,28,17,marrón,sano,24
andino,hembra,598.56,21,NA,blanco,NA,50
peruano,macho,NA,28,19,negro,NA,13
andino,macho,755.23,NA,18,marrón,sano,56
andino,macho,704.46,26,18,tricolor,sano,17
peruano,macho,NA,26,21,negro,NA,57
peruano,hembra,682.67,17,17,pintado,sano,47
peruano,macho,868.01,28,21,marrón,sano,63
peruano,macho,907.24,30,22,blanco,sano,51
abisinio,macho,663.89,NA,16,gris,gordo,65
andino,macho,870.43,20,NA,negro,NA,27
andino,macho,776.89,26,NA,blanco,NA,46
peruano,macho,769.29,31,18,pintado,sano,62
peruano,hembra,506.27,21,17,marrón,sano,17
andino,macho,766.02,NA,17,marrón,gordo,13
peruano,hembra,NA,24,NA,blanco,NA,35
andino,hembra,610.21,NA,16,negro,sano,48
peruano,hembra,591.62,NA,18,negro,sano,37
híbrido,macho,795.45,21,25,blanco,flaco,30
peruano,macho,647.42,28,19,blanco,sano,30
andino,macho,800.45,28,19,rojizo,sano,50
híbrido,hembra,NA,24,17,blanco,NA,40
andino,hembra,640.31,26,15,marrón,gordo,60
peruano,macho,801.74,NA,19,blanco,sano,57
peruano,hembra,830.43,29,17,negro,gordo,26
peruano,macho,739.45,27,NA,pintado,NA,48
americano,macho,NA,27,20,blanco,NA,44
andino,hembra,720.97,22,16,marrón,gordo,12
peruano,hembra,731.84,23,21,blanco,sano,30
andino,macho,618.39,25,18,blanco,sano,55
peruano,macho,731.87,NA,NA,blanco,NA,10
peruano,macho,937.1,25,21,negro,sano,45
peruano,macho,975.09,NA,NA,blanco,NA,51
peruano,hembra,762.39,NA,20,blanco,sano,34
andino,macho,682.68,29,NA,negro,NA,48
peruano,hembra,NA,NA,18,negro,NA,48
híbrido,macho,716.23,NA,NA,tricolor,NA,14
peruano,hembra,766.74,24,19,negro,sano,31
híbrido,macho,773.51,NA,22,tricolor,sano,21
peruano,hembra,746.31,27,19,negro,sano,20
peruano,macho,NA,25,19,blanco,NA,21
andino,macho,924.53,28,19,marrón,gordo,31
peruano,macho,689.44,NA,20,negro,sano,21
peruano,hembra,613.85,27,NA,blanco,NA,24
peruano,hembra,721.27,23,18,blanco,sano,50
peruano,macho,821.37,31,21,negro,sano,17
andino,macho,845.64,28,NA,blanco,NA,65
andino,macho,749.36,22,NA,negro,NA,19
peruano,macho,833.74,27,19,negro,sano,57
peruano,macho,753.05,NA,20,blanco,sano,38
andino,hembra,750.59,NA,18,negro,sano,52
peruano,hembra,658.47,27,NA,negro,NA,60
peruano,macho,919.19,24,NA,marrón,NA,23
andino,macho,931.13,21,18,blanco,gordo,33
peruano,macho,799.38,33,18,negro,gordo,13
peruano,hembra,758.7,26,NA,pintado,NA,19
peruano,macho,798.5,23,23,pintado,sano,17
abisinio,macho,602.65,20,17,marrón oscuro,sano,40
híbrido,macho,895.82,NA,17,tricolor,gordo,18
abisinio,macho,NA,NA,15,negro,NA,21
peruano,hembra,681.49,28,19,marrón,sano,47
peruano,macho,NA,28,NA,blanco,NA,16
andino,hembra,758.72,21,17,blanco,gordo,19
andino,hembra,678.34,24,17,negro,sano,26
andino,macho,627.37,29,17,negro,sano,53
peruano,macho,721.5,NA,NA,blanco,NA,57
peruano,macho,NA,28,20,negro,NA,29
peruano,macho,768.29,NA,NA,blanco,NA,32
andino,hembra,769.58,21,18,marrón,sano,61
peruano,macho,706.53,24,NA,blanco,NA,35
peruano,macho,832.05,30,NA,blanco,NA,43
americano,hembra,824.26,33,20,tricolor,sano,60
peruano,hembra,866.2,NA,18,marrón,gordo,46
peruano,hembra,687.37,21,18,blanco,sano,21
andino,hembra,673.9,NA,16,rojizo,gordo,28
peruano,hembra,NA,21,17,blanco,NA,44
peruano,hembra,621.48,29,NA,pintado,NA,59
peruano,macho,NA,27,21,negro,NA,23
andino,macho,842,22,NA,marrón,NA,28
andino,macho,947.81,34,18,blanco,gordo,15
peruano,hembra,838.12,29,19,negro,sano,20
peruano,hembra,665.45,NA,19,marrón,sano,65
americano,hembra,716.92,30,19,blanco,sano,NA
americano,hembra,757.95,24,20,blanco,sano,46
peruano,macho,925.95,22,18,negro,gordo,16
americano,macho,NA,25,NA,tricolor,NA,54
peruano,macho,729.56,24,20,marrón,sano,15
andino,macho,798.52,NA,17,marrón,gordo,12
andino,macho,859.33,25,19,blanco,sano,37
híbrido,hembra,802.89,NA,18,tricolor,sano,33
peruano,hembra,NA,26,20,marrón,NA,38
peruano,macho,820.2,29,20,negro,sano,42
andino,macho,913.8,24,20,blanco,sano,65
andino,macho,802.9,22,19,negro,sano,20
andino,macho,784.29,23,17,negro,gordo,46
abisinio,macho,558.77,NA,15,negro,gordo,22
andino,macho,758.2,27,NA,rojizo,NA,30
peruano,macho,742.58,24,20,pintado,sano,51
peruano,hembra,504.31,24,17,negro,sano,59
peruano,hembra,713.2,NA,19,negro,sano,50
peruano,hembra,715,NA,19,negro,sano,32
andino,macho,739.78,24,18,marrón,sano,36
peruano,hembra,653.23,27,17,marrón,sano,17
andino,macho,NA,27,NA,blanco,NA,63
híbrido,macho,622.63,NA,NA,tricolor,NA,50
peruano,macho,744.43,NA,20,blanco,sano,40
peruano,macho,1033.94,29,21,blanco,sano,31
peruano,macho,856.17,31,19,marrón,sano,16
andino,macho,806.03,26,17,negro,gordo,12
peruano,macho,NA,32,21,blanco,NA,44
híbrido,hembra,852.8,31,18,pintado,gordo,47
andino,macho,995.54,NA,20,blanco,gordo,35
andino,macho,NA,27,18,rojizo,NA,62
andino,macho,845.64,25,NA,blanco,NA,42
peruano,macho,675.78,24,NA,marrón,NA,45
andino,macho,959.7,NA,20,blanco,sano,21
peruano,hembra,748.83,24,18,pintado,sano,45
peruano,hembra,NA,26,NA,negro,NA,28
peruano,hembra,733.69,25,18,marrón,sano,19
híbrido,hembra,919.99,22,23,tricolor,sano,19
andino,hembra,520.51,NA,16,negro,sano,55
peruano,macho,884.38,NA,21,blanco,sano,54
peruano,macho,822.86,NA,19,marrón,sano,39
peruano,hembra,786.01,NA,18,blanco,sano,10
híbrido,macho,886.01,21,18,tricolor,gordo,58
andino,macho,NA,27,19,tricolor,NA,18
andino,macho,744.64,29,NA,blanco,NA,14
americano,hembra,857.93,25,19,blanco,sano,26
peruano,hembra,762.89,NA,18,blanco,sano,17
peruano,hembra,766.07,27,19,marrón,sano,34
peruano,macho,NA,29,19,pintado,NA,23
peruano,macho,NA,25,22,negro,NA,40
peruano,hembra,664.7,21,16,blanco,sano,50
híbrido,hembra,512.45,22,16,blanco,sano,57
peruano,macho,NA,31,20,blanco,NA,58
peruano,hembra,751.24,23,15,negro,gordo,15
peruano,hembra,793.83,NA,NA,negro,NA,24
andino,hembra,822.92,22,16,blanco,gordo,32
peruano,macho,819.98,25,20,blanco,sano,14
híbrido,macho,576.92,NA,18,tricolor,sano,43
abisinio,macho,746.24,26,16,pintado,gordo,58
peruano,macho,NA,27,20,negro,NA,42
andino,macho,816.09,27,16,tricolor,gordo,14
andino,macho,701.17,NA,18,tricolor,sano,22
peruano,hembra,625.05,21,17,negro,sano,41
abisinio,macho,NA,22,15,marrón oscuro,NA,62
americano,macho,955.33,NA,22,negro,sano,38
peruano,macho,801.54,27,20,pintado,sano,33
andino,macho,925.99,25,18,marrón,gordo,26
peruano,hembra,875.12,NA,NA,blanco,NA,20
andino,macho,NA,25,19,blanco,NA,41
híbrido,macho,1830.38,32,21,blanco,obeso,41
americano,macho,855.38,NA,NA,blanco,NA,61
andino,macho,662.88,22,NA,tricolor,NA,44
peruano,hembra,779.01,24,18,marrón,sano,46
andino,macho,658.18,27,17,marrón,sano,45
peruano,hembra,730.98,26,NA,negro,NA,24
peruano,hembra,NA,25,18,negro,NA,18
andino,macho,901.43,26,16,tricolor,gordo,16
rex,hembra,460.73,24,16,marrón,sano,17
andino,macho,987.13,29,NA,marrón,NA,45
andino,macho,545.07,21,NA,tricolor,NA,59
andino,hembra,627.26,25,16,blanco,gordo,59
peruano,macho,1025.06,29,NA,blanco,NA,21
abisinio,macho,629.54,23,16,gris,gordo,60
peruano,macho,723.74,NA,18,blanco,sano,45
peruano,hembra,NA,27,NA,blanco,NA,57
peruano,hembra,631.53,NA,19,marrón,sano,13
andino,hembra,NA,22,17,tricolor,NA,13
andino,hembra,676.2,18,16,blanco,sano,54
peruano,macho,646.61,29,19,blanco,sano,14
peruano,hembra,701.77,NA,19,blanco,sano,31
andino,hembra,696.92,26,17,negro,sano,57
americano,hembra,NA,33,21,blanco,NA,32
peruano,macho,894.59,27,21,pintado,sano,37
peruano,hembra,NA,25,NA,pintado,NA,38
andino,macho,734.46,25,17,negro,gordo,38
peruano,macho,NA,31,NA,marrón,NA,64
peruano,macho,NA,24,22,blanco,NA,41
andino,hembra,650.4,23,NA,blanco,NA,47
andino,hembra,707.93,23,15,rojizo,gordo,16
peruano,hembra,792.57,25,NA,blanco,NA,25
peruano,hembra,733.51,24,18,negro,sano,41
andino,macho,836.38,19,20,marrón,sano,38
andino,macho,723.24,26,18,marrón,sano,29
peruano,hembra,887.89,28,NA,negro,NA,49
peruano,macho,636.46,30,19,marrón,sano,36
peruano,hembra,790.16,NA,19,negro,sano,60
híbrido,hembra,401.65,26,16,tricolor,sano,12
peruano,macho,876.67,25,NA,blanco,NA,44
andino,hembra,719.22,21,16,blanco,gordo,15
peruano,hembra,610.71,23,NA,pintado,NA,36
peruano,macho,829.9,30,20,blanco,sano,50
híbrido,macho,1043.51,NA,NA,tricolor,NA,14
andino,macho,713.39,27,NA,marrón,NA,27
americano,macho,962.99,27,20,blanco,sano,49
abisinio,macho,713.63,25,16,marrón oscuro,gordo,63
abisinio,macho,625.78,23,15,negro,gordo,38
andino,hembra,785.64,22,16,marrón,gordo,30
peruano,macho,1011.96,NA,NA,negro,NA,35
peruano,macho,NA,NA,20,blanco,NA,19
andino,macho,885.56,32,18,negro,gordo,32
peruano,macho,969.79,NA,20,negro,gordo,62
peruano,hembra,657.37,29,17,negro,sano,48
andino,hembra,NA,21,NA,negro,NA,35
abisinio,macho,621.19,NA,17,gris,sano,37
peruano,hembra,652.55,23,18,marrón,sano,63
peruano,macho,810.56,27,NA,blanco,NA,14
peruano,hembra,646.26,22,NA,marrón,NA,17
peruano,macho,860.69,25,NA,negro,NA,22
peruano,macho,928.01,28,NA,blanco,NA,46
peruano,macho,836.21,22,21,blanco,sano,46
híbrido,macho,563.78,NA,22,tricolor,flaco,48
andino,macho,703.2,26,18,blanco,sano,39
peruano,macho,873.62,31,NA,blanco,NA,16
andino,macho,773.61,27,17,negro,gordo,19
andino,macho,871.24,27,NA,marrón,NA,19
peruano,hembra,781.58,25,NA,pintado,NA,50
abisinio,macho,516.43,23,16,marrón oscuro,sano,24
peruano,macho,981.44,30,NA,blanco,NA,60
andino,macho,742.97,29,NA,negro,NA,43
andino,macho,489.78,22,18,blanco,flaco,34
peruano,hembra,626.37,NA,19,marrón,sano,51
andino,macho,705.28,28,18,negro,sano,21
andino,macho,711.8,30,18,negro,sano,39
peruano,macho,NA,27,19,negro,NA,39
peruano,macho,950.91,NA,NA,blanco,NA,57
peruano,hembra,NA,31,17,blanco,NA,53
