Raza,Sexo,Peso,Largo,Cintura,Color,Talla,Edad
peruano,m,884.93,28,NA,blanco,NA,50
peruano,h,NA,25,18,Blanco,NA,50
Peruano,m,701.52,22,NA,blanco,NA,48
andino,macho,940.78,24,18,negro,Gordo,15
Cuy Andino,H,763.3,NA,15,blanco,gordo,35
peruano,Macho,NA,30,NA,blanco,NA,20
Peruano,Macho,883.8,32,20,blanco,Sano,28
Cuy peruano,macho,892.79,NA,20,Blancoo,sano,47
Cuy híbrido,Macho,1176.45,20,NA,Pintado,NA,54
peruano,Macho,NA,NA,20,Blanco,NA,27
Cuy andino,h,732.53,NA,16,Blanco,gordo,47
Cuy andino,Hembra,725.41,27,NA,tricolor,NA,26
peruano,h,706.15,NA,NA,Blanco,NA,39
Peruano,Macho,946.03,NA,NA,Negro,NA,14
Cuy Abisinio,Macho,675.1,25,16,Gris,Gordo,62
Peruano,h,640.92,24,19,Blanco,sano,34
híbrido,m,1321.36,26,27,tricolor,sano,44
NA,h,863.94,36,17,Tricolor,Gordo,40
NA,hembra,674.45,19,NA,blanco,NA,32
peruano,Macho,682.48,NA,NA,Pintado,NA,59
Cuy peruano,Macho,724.48,NA,NA,negro,NA,47
Andino,macho,642.47,NA,18,negro,Sano,38
Cuy Andino,hembra,NA,24,15,Tricolor,NA,36
Cuy peruano,hembra,677.35,25,19,Marrón,Sano,49
peruano,m,794.61,23,19,blanco,Sano,48
peruano,Macho,768.12,NA,20,Negro,sano,63
Cuy abisinio,M,613.6,25,NA,marrón oscuro,NA,50
Cuy peruano,H,766.96,26,16,Blanco,gordo,56
Peruano,Hembra,727.63,31,17,Negro,sano,31
Cuy Andino,Macho,755.65,25,18,negro,Sano,17
Cuy andino,m,821.45,24,18,marrón,gordo,48
peruano,Macho,NA,24,21,Negro,NA,22
Cuy Peruano,h,871.72,27,18,blanco,gordo,24
Cuy Abisinio,M,NA,NA,17,gris,NA,16
Cuy peruano,Macho,762.06,29,NA,Marrón,NA,49
Cuy Andino,h,623.6,20,18,Rojizo,Sano,22
Andino,Macho,814.8,26,NA,Blanco,NA,27
Peruano,Macho,743.82,33,19,Blanco,sano,26
peruano,m,796.41,28,NA,Pintado,NA,57
Cuy Andino,hembra,696.81,NA,NA,rojizo,NA,33
Cuy Peruano,macho,726.16,21,NA,Marrón,NA,54
Cuy peruano,Hembra,769.45,27,NA,pintado,NA,31
peruano,H,NA,NA,NA,blanco,NA,NA
peruano,macho,847.92,27,NA,Negroo,NA,53
Hibrido,h,1049.34,34,21,Marrón,Sano,52
Cuy Andino,M,679.87,NA,16,blanco,Gordo,14
andino,hembra,712.5,27,16,tricolor,gordo,38
Cuy peruano,macho,909.94,33,NA,blanco,NA,22
Cuy peruano,Hembra,712.42,19,19,Negro,Sano,36
Andino,m,886.52,NA,19,rojizo,Sano,36
Cuy peruano,Macho,NA,23,20,Negro,NA,34
andino,h,671.59,20,17,marrón,sano,54
Cuy abisinio,Macho,578.55,22,17,marrón oscuro,Sano,50
Abisinio,m,511.37,23,NA,Marrón Oscuro,NA,24
Andino,h,803.33,22,NA,negro,NA,48
Cuy Peruano,m,NA,28,NA,Negro,NA,13
Cuy Peruano,macho,683.51,26,20,Blanco,Sano,43
Andino,Macho,922.56,27,19,Negro,gordo,26
andino,hembra,603.73,21,15,Rojizo,Gordo,22
Andino,Macho,778.27,24,NA,Negro,NA,18
Híbrido,Macho,1110.18,26,NA,Tricolor,NA,25
Cuy peruano,Hembra,680.76,24,19,pintado,Sano,19
Cuy Andino,macho,780.22,NA,17,Negro,Gordo,28
Cuy Andino,Macho,709.95,NA,19,marrón,Sano,34
Cuy Andino,Macho,700.49,25,18,blanco,Sano,28
Cuy peruano,Macho,829.68,23,NA,Blanco,NA,63
Peruano,m,NA,26,20,Pintado,NA,28
Cuy Abisinio,Macho,625.98,20,17,Marrón Oscuro,Sano,20
Cuy Peruano,Hembra,831.77,23,17,Blanco,Gordo,64
Cuy Peruano,H,NA,26,NA,Blanco,NA,57
peruano,Hembra,NA,NA,NA,Negro,NA,64
Peruano,h,759.76,26,18,Blanco,Sano,15
Cuy Peruano,Macho,839.25,NA,19,Blanco,sano,47
Cuy peruano,H,605.03,28,17,Blanco,Sano,27
Cuy Híbrido,Hembra,1586.41,NA,26,Marrón,sano,18
Cuy Andino,macho,847.51,25,NA,Negro,NA,34
Cuy peruano,Macho,751.69,NA,19,Pintado,sanoo,51
Cuy Abisinio,Macho,426.04,22,18,Negro,flaco,57
Andino,macho,619.85,33,18,Negro,Sano,44
Cuy Andino,m,1026.16,28,17,negro,Gordo,65
Cuy peruano,M,915.72,25,20,Negro,sano,28
peruano,hembra,644.04,25,18,Pintado,Sano,40
andino,Macho,795.05,25,18,Blanco,Sano,36
Cuy abisinio,macho,451.56,22,16,Negro,sano,51
Cuy andino,H,695.24,NA,17,blanco,Sano,42
Cuy Abisinio,macho,NA,21,NA,Marrón Oscuro,NA,59
Cuy peruano,hembra,NA,26,NA,Blanco,NA,48
Cuy Peruano,Hembra,724.58,NA,19,marrón,Sano,45
peruano,hembra,471.36,24,17,Pintado,sano,43
Peruanoo,Macho,753.42,23,19,Negro,sano,57
Cuy abisinio,macho,NA,25,15,marrón oscuro,NA,29
Cuy peruano,m,758.36,28,21,Blanco,Sano,30
Cuy peruano,hembra,629.43,25,18,Blanco,Sano,52
Cuy Peruano,h,710.41,22,18,Pintado,Sano,51
Cuy peruano,Hembra,796.89,28,NA,blanco,NA,53
Cuy peruano,hembra,624.72,NA,18,marrón,Sano,49
adinon,Macho,NA,24,17,Negro,NA,43
Cuy Peruano,H,876.19,22,NA,pintado,NA,47
Cuy Híbrido,Macho,1236.06,NA,18,Marrón,Obeso,29
Peruano,hembra,696.97,NA,NA,blanco,NA,58
Andino,M,850.79,23,18,Blanco,Gordo,39
andino,m,602.86,NA,19,Marrón,sano,13
Cuy andino,Macho,973.13,24,18,marrón,gordo,37
Cuy Peruano,Macho,695.34,28,NA,Marrón,NA,64
Cuy andino,Macho,NA,30,18,blanco,NA,19
Cuy Andino,Macho,881.81,27,19,Marrón,Sano,19
Cuy peruano,Macho,629.36,NA,18,Pintado,Sano,55
Cuy Andino,m,770.51,25,17,blanco,gordo,32
andino,macho,821.64,26,18,marrón,Sano,17
Cuy Americano,h,763.28,33,19,blanco,sano,16
Cuy abisinio,macho,474.61,23,15,Marrón Oscuro,Sano,53
Hibrido,H,473.52,25,NA,Tricolor,NA,61
Cuy Andino,hembra,607.77,21,17,Negro,Sano,47
Peruano,macho,NA,26,18,Negro,NA,38
Peruano,M,NA,27,NA,Negro,NA,39
peruano,hembra,749.95,26,NA,Pintado,NA,32
Cuy Peruano,M,NA,32,19,Marrón,NA,51
adinon,Macho,780.05,21,17,Blanco,gordo,45
Cuy peruano,macho,795.67,NA,22,pintado,sano,47
Cuy peruano,h,645.44,27,17,negro,Sano,54
Cuy abisinio,m,716.97,23,16,negro,Gordo,51
Cuy Peruano,m,NA,28,19,Blanco,NA,59
Cuy Peruano,hembra,767.27,28,17,Blanco,Gordo,56
Cuy Peruano,Macho,801.1,29,20,negro,Sano,45
Hibrido,hembra,995.72,35,16,Tricolor,Obeso,31
adinon,m,626.28,25,17,marrón,sanoo,16
NA,macho,606,NA,15,Blanco,gordo,22
Cuy peruano,hembra,740.06,25,18,Blanco,Sanoo,16
peruano,h,743.74,29,18,Blanco,Sano,48
Cuy peruano,hembra,746.14,28,17,marrón,Sano,24
Cuy Andino,h,598.56,21,NA,Blancoo,NA,50
peruano,m,NA,28,19,negro,NA,13
andino,Macho,755.23,NA,18,Marrón,Sano,56
Cuy andino,macho,704.46,26,18,tricolor,sano,17
Cuy Peruano,m,NA,26,21,Negro,NA,57
peruano,Hembra,682.67,17,17,Pintado,Sano,47
Peruano,Macho,868.01,28,21,Marrón,Sano,63
Cuy Peruano,macho,907.24,30,22,Blanco,sano,51
Cuy Abisinio,Macho,663.89,NA,16,Gris,gordo,65
andino,Macho,870.43,20,NA,Negro,NA,27
Andino,m,776.89,26,NA,Blanco,NA,46
Peruano,macho,769.29,31,18,Pintado,Sano,62
Peruano,H,506.27,21,17,marrón,sano,17
Andino,macho,766.02,NA,17,marrón,Gordo,13
peruano,H,NA,24,NA,blanco,NA,35
andino,Hembra,610.21,NA,16,negro,Sano,48
Peruanoo,Hembra,591.62,NA,18,negro,Sano,37
Hibrido,Macho,795.45,21,25,Blancoo,Flaco,30
peruano,M,647.42,28,19,Blanco,sanoo,30
Andino,Macho,800.45,28,19,Rojizo,sano,50
Cuy,h,NA,24,17,Blanco,NA,40
Cuy andino,hembra,640.31,26,15,Marrón,Gordo,60
Peruano,Macho,801.74,NA,19,Blanco,Sano,57
Cuy Peruano,H,830.43,29,17,Negro,Gordo,26
peruano,Macho,739.45,27,NA,pintado,NA,48
Cuy Americano,MMacho,NA,27,20,Blanco,NA,44
Andino,h,720.97,22,16,Marrón,gordo,12
Cuy Peruano,Hembra,731.84,23,21,Blanco,Sanoo,30
Andino,Macho,618.39,25,18,Blanco,Sano,55
Cuy Peruano,M,731.87,NA,NA,Blanco,NA,10
Cuy peruano,m,937.1,25,21,negro,sano,45
Cuy peruano,Macho,975.09,NA,NA,Blanco,NA,51
Peruano,h,762.39,NA,20,Blanco,Sano,34
Andino,M,682.68,29,NA,negro,NA,48
Cuy peruano,Hembra,NA,NA,18,Negro,NA,48
Cuy,M,716.23,NA,NA,Tricolor,NA,14
Peruano,H,766.74,24,19,Negro,Sano,31
Cuy híbrido,Macho,773.51,NA,22,Tricolor,Sano,21
Cuy Peruano,h,746.31,27,19,Negro,Sano,20
Peruano,macho,NA,25,19,blanco,NA,21
Cuy andino,M,924.53,28,19,marrón,Gordo,31
Cuy Peruano,macho,689.44,NA,20,Negro,Sano,21
Cuy Peruano,hembra,613.85,27,NA,blanco,NA,24
peruano,h,721.27,23,18,Blanco,Sano,50
Cuy Peruano,M,821.37,31,21,Negro,Sano,17
Andino,Macho,845.64,28,NA,blanco,NA,65
adinon,macho,749.36,22,NA,Negro,NA,19
Cuy peruano,m,833.74,27,19,Negro,Sano,57
Cuy peruano,Macho,753.05,NA,20,Blanco,Sano,38
Andino,hembra,750.59,NA,18,Negro,sano,52
peruano,h,658.47,27,NA,Negro,NA,60
Cuy Peruano,macho,919.19,24,NA,Marrón,NA,23
Cuy andino,Macho,931.13,21,18,Blanco,Gordo,33
Peruano,Macho,799.38,33,18,negro,gordo,13
peruano,hembra,758.7,26,NA,Pintado,NA,19
Cuy Peruano,M,798.5,23,23,pintado,sano,17
Abisinio,m,602.65,20,17,marrón oscuro,Sano,40
híbrido,Macho,895.82,NA,17,tricolor,Gordo,18
Cuy abisinio,m,NA,NA,15,Negro,NA,21
Cuy Peruano,H,681.49,28,19,marrón,sano,47
peruano,m,NA,28,NA,Blanco,NA,16
Cuy andino,Hembra,758.72,21,17,Blanco,Gordo,19
Cuy Andino,hembra,678.34,24,17,Negro,sano,26
andino,macho,627.37,29,17,negro,Sano,53
Cuy Peruano,m,721.5,NA,NA,Blancoo,NA,57
Peruano,m,NA,28,20,Negro,NA,29
Cuy peruano,m,768.29,NA,NA,blanco,NA,32
Andino,H,769.58,21,18,Marrón,Sano,61
Cuy Peruano,Macho,706.53,24,NA,Blanco,NA,35
Cuy Peruano,macho,832.05,30,NA,Blanco,NA,43
Americano,h,824.26,33,20,tricolor,Sano,60
Cuy Peruano,H,866.2,NA,18,Marrón,Gordo,46
Cuy peruano,H,687.37,21,18,blanco,Sano,21
aNDino,h,673.9,NA,16,rojizo,Gordo,28
peruano,hembra,NA,21,17,blanco,NA,44
Peruano,H,621.48,29,NA,pintado,NA,59
Cuy Peruano,M,NA,27,21,Negro,NA,23
adinon,Macho,842,22,NA,Marrón,NA,28
Cuy Andino,Macho,947.81,34,18,blanco,Gordo,15
Peruano,H,838.12,29,19,Negro,Sano,20
Cuy Peruano,Hembra,665.45,NA,19,Marrón,Sano,65
Americano,Hembra,716.92,30,19,Blanco,sano,NA
Cuy Americano,h,757.95,24,20,Blanco,Sano,46
Cuy Peruano,Macho,925.95,22,18,Negro,Gordo,16
Cuy Americano,Macho,NA,25,NA,Tricolor,NA,54
peruano,macho,729.56,24,20,Marrón,sano,15
Cuy Andino,M,798.52,NA,17,marrón,gordo,12
Andino,macho,859.33,25,19,Blanco,sano,37
Hibrido,hembra,802.89,NA,18,Tricolor,Sano,33
peruano,hembra,NA,26,20,Marrón,NA,38
Peruano,m,820.2,29,20,negro,Sano,42
andino,Macho,913.8,24,20,Blanco,Sano,65
Cuy Andino,m,802.9,22,19,Negro,sano,20
Cuy andino,Macho,784.29,23,17,negro,Gordo,46
Cuy abisinio,Macho,558.77,NA,15,negro,Gordo,22
Andino,Macho,758.2,27,NA,rojizo,NA,30
Cuy Peruano,Macho,742.58,24,20,pintado,Sano,51
Cuy Peruano,H,504.31,24,17,Negro,sano,59
Cuy Peruano,h,713.2,NA,19,negro,sano,50
Peruano,h,715,NA,19,Negro,sano,32
andino,m,739.78,24,18,Marrón,sano,36
Peruano,hembra,653.23,27,17,Marrón,Sano,17
Andino,m,NA,27,NA,Blanco,NA,63
Cuy Híbrido,M,622.63,NA,NA,Tricolor,NA,50
Cuy Peruano,m,744.43,NA,20,Blanco,Sano,40
Cuy peruano,Macho,1033.94,29,21,Blanco,Sano,31
Cuy peruano,M,856.17,31,19,Marrón,sano,16
andino,Macho,806.03,26,17,negro,Gordo,12
Cuy peruano,macho,NA,32,21,Blanco,NA,44
Cuy Híbrido,hembra,852.8,31,18,Pintado,gordoo,47
Andino,M,995.54,NA,20,Blanco,gordo,35
Cuy andino,m,NA,27,18,rojizo,NA,62
Cuy andino,m,845.64,25,NA,Blanco,NA,42
Cuy peruano,Macho,675.78,24,NA,Marrón,NA,45
Cuy andino,Macho,959.7,NA,20,blanco,sano,21
peruano,h,748.83,24,18,pintado,Sano,45
peruano,H,NA,26,NA,Negro,NA,28
Peruano,h,733.69,25,18,Marrón,Sano,19
Hibrido,Hembra,919.99,22,23,tricolor,Sano,19
Andino,Hembra,520.51,NA,16,Negro,Sano,55
Cuy peruano,Macho,884.38,NA,21,blanco,sano,54
Cuy Peruano,Macho,822.86,NA,19,marrón,sano,39
Cuy peruano,H,786.01,NA,18,Blanco,Sano,10
cuy,macho,886.01,21,18,Tricolor,Gordo,58
adinon,M,NA,27,19,tricolor,NA,18
Cuy Andino,Macho,744.64,29,NA,blanco,NA,14
Americano,H,857.93,25,19,blanco,Sano,26
Cuy Peruano,hembra,762.89,NA,18,blanco,Sano,17
Peruano,H,766.07,27,19,Marrón,Sano,34
Peruano,Macho,NA,29,19,Pintado,NA,23
Cuy peruano,m,NA,25,22,negro,NA,40
Cuy peruano,H,664.7,21,16,Blanco,Sano,50
híbrido,Hembra,512.45,22,16,blanco,sano,57
peruano,m,NA,31,20,Blanco,NA,58
Cuy Peruano,Hembra,751.24,23,15,negro,gordo,15
peruano,hembra,793.83,NA,NA,Negro,NA,24
andino,H,822.92,22,16,blanco,gordo,32
Peruano,macho,819.98,25,20,Blanco,sano,14
hibrido,Macho,576.92,NA,18,Tricolor,Sano,43
Cuy abisinio,M,746.24,26,16,Pintado,gordo,58
peruano,m,NA,27,20,negro,NA,42
andino,Macho,816.09,27,16,Tricolor,gordo,14
Cuy andino,Macho,701.17,NA,18,Tricolor,sano,22
Cuy peruano,hembra,625.05,21,17,Negro,sano,41
Abisinio,M,NA,22,15,marrón oscuro,NA,62
Americano,Macho,955.33,NA,22,negro,Sano,38
peruano,macho,801.54,27,20,pintado,Sano,33
Cuy Andino,macho,925.99,25,18,Marrón,Gordo,26
Peruano,h,875.12,NA,NA,Blanco,NA,20
Andino,Macho,NA,25,19,Blanco,NA,41
hibrido,M,1830.38,32,21,blanco,Obesoo,41
Cuy Americano,Macho,855.38,NA,NA,Blanco,NA,61
Cuy Andino,Macho,662.88,22,NA,Tricolor,NA,44
Cuy peruano,hembra,779.01,24,18,Marrón,Sano,46
Cuy Andino,macho,658.18,27,17,marrón,Sano,45
Cuy Peruano,H,730.98,26,NA,Negro,NA,24
Cuy peruano,hembra,NA,25,18,Negro,NA,18
Cuy Andino,macho,901.43,26,16,tricolor,gordo,16
Cuy rex,h,460.73,24,16,marrón,Sano,17
andino,M,987.13,29,NA,Marrón,NA,45
